colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
1556356255.879189960,1556356255.869817488,1556356255.862179542
1556356255.912706129,1556356255.903187506,1556356255.912178381
1556356255.979264490,1556356255.969896786,1556356255.962182624
1556356256.012732260,1556356256.003260843,1556356256.012181407
1556356256.079151623,1556356256.069999926,1556356256.062177700
1556356256.112454168,1556356256.103368990,1556356256.112181359
1556356256.179486267,1556356256.170107834,1556356256.162175252
1556356256.213002197,1556356256.203476898,1556356256.218433199
1556356256.280034296,1556356256.270214788,1556356256.262197804
1556356256.313550226,1556356256.303589813,1556356256.312183113
1556356256.380582325,1556356256.370453350,1556356256.362175235
1556356256.414098255,1556356256.403869383,1556356256.412191393
1556356256.481276981,1556356256.470683090,1556356256.462178006
1556356256.514792912,1556356256.504220001,1556356256.512175737
1556356256.581748240,1556356256.570991270,1556356256.562179068
1556356256.615264170,1556356256.604362242,1556356256.612177022
1556356256.681782953,1556356256.671098225,1556356256.663557367
1556356256.715278379,1556356256.704436056,1556356256.712189010
1556356256.781994097,1556356256.771006100,1556356256.762162860
1556356256.815510265,1556356256.804300539,1556356256.812180926
1556356256.882527582,1556356256.871114008,1556356256.862176049
1556356256.916058294,1556356256.904483072,1556356256.912178478
1556356256.949574224,1556356256.971099846,1556356256.962174693
1556356257.016842834,1556356257.004462950,1556356257.012184424
1556356257.050359003,1556356257.071024887,1556356257.062178312
1556356257.117799274,1556356257.104378454,1556356257.112170554
1556356257.151453964,1556356257.171116106,1556356257.162175154
1556356257.218485825,1556356257.204469435,1556356257.212184591
1556356257.252013914,1556356257.271224491,1556356257.262175991
1556356257.319046013,1556356257.304656260,1556356257.312234194
1556356257.352561943,1556356257.371338837,1556356257.362226693
1556356257.419443361,1556356257.404707901,1556356257.412177939
1556356257.452720873,1556356257.471445791,1556356257.462189791
1556356257.519336931,1556356257.504815809,1556356257.512261271
1556356257.552844517,1556356257.571553938,1556356257.562178232
1556356257.619872324,1556356257.604923002,1556356257.612175023
1556356257.653388254,1556356257.671661846,1556356257.662179683
1556356257.720424644,1556356257.705030910,1556356257.712174863
1556356257.753940575,1556356257.771740191,1556356257.762175885
1556356257.820980780,1556356257.805097572,1556356257.812194772
1556356257.854499332,1556356257.871824018,1556356257.862177931
1556356257.921531193,1556356257.905193321,1556356257.912179148
1556356257.955047361,1556356257.971919767,1556356257.962272773
1556356258.022079222,1556356258.005300276,1556356258.012178211
1556356258.055621855,1556356258.072039358,1556356258.062177102
1556356258.089219801,1556356258.105469458,1556356258.112226397
1556356258.189686052,1556356258.205577604,1556356258.212175250
1556356258.256624453,1556356258.272254221,1556356258.262189338
1556356258.323656551,1556356258.305624239,1556356258.312175156
1556356258.357172482,1556356258.372336618,1556356258.362186295
1556356258.424192421,1556356258.405695669,1556356258.412180089
1556356258.457737200,1556356258.472416155,1556356258.462176892
1556356258.524769299,1556356258.505781404,1556356258.512176301
1556356258.558320038,1556356258.572516434,1556356258.562260460
1556356258.591835968,1556356258.605885498,1556356258.612176881
1556356258.658815138,1556356258.672623388,1556356258.662174567
1556356258.692331068,1556356258.705997221,1556356258.712181273
1556356258.759379379,1556356258.772735350,1556356258.762173969
1556356258.792879097,1556356258.806104414,1556356258.812176933
1556356258.859853975,1556356258.872845404,1556356258.862179990
1556356258.893360130,1556356258.906220428,1556356258.912184752
1556356258.960401766,1556356258.972984306,1556356258.962177810
1556356258.993908159,1556356259.006353132,1556356259.012175662
1556356259.060895197,1556356259.073091261,1556356259.062195252
1556356259.094411366,1556356259.106430523,1556356259.112174230
1556356259.161443226,1556356259.173168413,1556356259.162192031
1556356259.195003979,1556356259.206522696,1556356259.212186170
1556356259.262036077,1556356259.273261778,1556356259.262193325
1556356259.295552008,1556356259.306630604,1556356259.312175810
1556356259.362584106,1556356259.373369686,1556356259.362177844
1556356259.396060936,1556356259.406738750,1556356259.412175590
1556356259.463093035,1556356259.473593466,1556356259.462180522
1556356259.496608965,1556356259.506963484,1556356259.512180814
1556356259.563641064,1556356259.573791735,1556356259.562207782
1556356259.597155563,1556356259.607296698,1556356259.612178400
1556356259.664187662,1556356259.674024097,1556356259.662150667
1556356259.697703592,1556356259.707393162,1556356259.712178232
1556356259.764736883,1556356259.774132006,1556356259.762176037
1556356259.798323862,1556356259.807501070,1556356259.812177801
1556356259.865443699,1556356259.874064438,1556356259.862178039
1556356259.898959867,1556356259.907334082,1556356259.912177081
1556356259.966240398,1556356259.974068157,1556356259.962176499
1556356259.999756329,1556356260.007390491,1556356260.012175281
1556356260.066788427,1556356260.074092619,1556356260.062175381
1556356260.100304358,1556356260.107439987,1556356260.112207444
1556356260.167160265,1556356260.174151175,1556356260.162186463
1556356260.200676195,1556356260.207514994,1556356260.212279993
1556356260.267615072,1556356260.274253122,1556356260.262201284
1556356260.301131002,1556356260.307623140,1556356260.312195152
1556356260.368130438,1556356260.374361031,1556356260.362177268
1556356260.401679031,1556356260.407730095,1556356260.412224264
1556356260.468667500,1556356260.474469177,1556356260.463133698
1556356260.502227060,1556356260.507838003,1556356260.512204454
1556356260.569352142,1556356260.574577085,1556356260.562372829
1556356260.602929823,1556356260.607945196,1556356260.613923629
1556356260.670106642,1556356260.674682610,1556356260.662750757
1556356260.703622810,1556356260.708052628,1556356260.712202761
1556356260.770735256,1556356260.774790756,1556356260.762209557
1556356260.804251186,1556356260.808153860,1556356260.812291803
1556356260.871283285,1556356260.874892942,1556356260.862198116
1556356260.904718630,1556356260.908267729,1556356260.912181977
1556356260.971750729,1556356260.974994652,1556356260.962174230
1556356261.005148880,1556356261.008363716,1556356261.012189116
1556356261.072017662,1556356261.075101606,1556356261.062178449
1556356261.105521910,1556356261.108471624,1556356261.112759112
1556356261.172532551,1556356261.175215952,1556356261.162176850
1556356261.206069939,1556356261.208585016,1556356261.212217975
1556356261.273102037,1556356261.275356285,1556356261.262177534
1556356261.306885235,1556356261.308745377,1556356261.312183619
1556356261.373917095,1556356261.375464432,1556356261.362173695
1556356261.407433264,1556356261.408853285,1556356261.412176574
1556356261.474465124,1556356261.475664608,1556356261.462180808
1556356261.507981293,1556356261.509034626,1556356261.512183350
1556356261.575013153,1556356261.575896971,1556356261.562174950
1556356261.608529322,1556356261.609266035,1556356261.612192268
1556356261.675231688,1556356261.676005117,1556356261.662177208
1556356261.708638899,1556356261.709249489,1556356261.712190678
1556356261.775659077,1556356261.775905840,1556356261.762488359
1556356261.809175007,1556356261.809257977,1556356261.812204240
1556356261.876219027,1556356261.876012794,1556356261.862207562
1556356261.909749977,1556356261.909382813,1556356261.912183946
1556356261.976782076,1556356261.976068251,1556356261.962174168
1556356262.010343067,1556356262.009437077,1556356262.012178887
1556356262.078128807,1556356262.076115124,1556356262.062177746
1556356262.111757271,1556356262.109484188,1556356262.112198144
1556356262.178935520,1556356262.176189892,1556356262.162179875
1556356262.212729446,1556356262.209558956,1556356262.212256795
1556356262.246245377,1556356262.242929928,1556356262.262182716
1556356262.313277475,1556356262.309694759,1556356262.312189387
1556356262.346674196,1556356262.343063824,1556356262.362174987
1556356262.413706295,1556356262.409775965,1556356262.412183573
1556356262.447119944,1556356262.443145983,1556356262.462176699
1556356262.514095537,1556356262.509883873,1556356262.512493245
1556356262.547611706,1556356262.543244354,1556356262.562178694
1556356262.614580147,1556356262.609991781,1556356262.612177876
1556356262.648096315,1556356262.643352262,1556356262.662177398
1556356262.715205662,1556356262.710091345,1556356262.712199714
1556356262.748721592,1556356262.743460409,1556356262.762205826
1556356262.815753691,1556356262.810183994,1556356262.812178628
1556356262.849227898,1556356262.843554012,1556356262.862183308
1556356262.916235439,1556356262.910303347,1556356262.912180665
1556356262.949364416,1556356262.943672411,1556356262.962175589
1556356263.016319029,1556356263.010428659,1556356263.012178315
1556356263.049834959,1556356263.043797485,1556356263.062186476
1556356263.116729490,1556356263.110536568,1556356263.112186695
1556356263.149965994,1556356263.143905632,1556356263.162187218
1556356263.216864340,1556356263.210634224,1556356263.212215092
1556356263.250375740,1556356263.243996374,1556356263.262176818
1556356263.317407600,1556356263.310734503,1556356263.312183125
1556356263.350923769,1556356263.344051830,1556356263.362238104
1556356263.417960159,1556356263.410780661,1556356263.412419153
1556356263.451558582,1556356263.444149725,1556356263.462257966
1556356263.518590443,1556356263.510888569,1556356263.512232122
1556356263.552124969,1556356263.544257633,1556356263.562176393
1556356263.619156830,1556356263.610997669,1556356263.612183364
1556356263.652672760,1556356263.644376032,1556356263.662177361
1556356263.719686501,1556356263.711143009,1556356263.712191096
1556356263.753202431,1556356263.744523518,1556356263.762336602
1556356263.820151798,1556356263.811295502,1556356263.812191103
1556356263.853667728,1556356263.844720118,1556356263.862431341
1556356263.920665495,1556356263.911514036,1556356263.912180039
1556356263.954148285,1556356263.944899075,1556356263.962178700
1556356264.021213524,1556356264.011686556,1556356264.012186245
1556356264.054729454,1556356264.045010321,1556356264.062370749
1556356264.121762745,1556356264.111748211,1556356264.112276669
1556356264.155311815,1556356264.145117275,1556356264.162221015
1556356264.222433559,1556356264.211921207,1556356264.212180883
1556356264.255957357,1556356264.245290272,1556356264.263075003
1556356264.322989218,1556356264.311981909,1556356264.312179020
1556356264.356505386,1556356264.345350973,1556356264.362205254
1556356264.423563950,1556356264.412067883,1556356264.415089999
1556356264.457079880,1556356264.445428125,1556356264.462387344
1556356264.524077646,1556356264.512152426,1556356264.512232450
1556356264.557483427,1556356264.545476191,1556356264.562184413
1556356264.624500505,1556356264.612126343,1556356264.612341911
1556356264.657953970,1556356264.645446054,1556356264.662246092
1556356264.724986069,1556356264.712182514,1556356264.712199260
1556356264.758492701,1556356264.745546572,1556356264.762497128
1556356264.825524799,1556356264.812284700,1556356264.812198236
1556356264.859050028,1556356264.845634691,1556356264.862177677
1556356264.926082127,1556356264.912372581,1556356264.912325726
1556356264.959598057,1556356264.945741646,1556356264.962177273
1556356265.026629917,1556356265.012449734,1556356265.012184103
1556356265.060155622,1556356265.045804493,1556356265.062177832
1556356265.127187483,1556356265.112543575,1556356265.112340149
1556356265.160704367,1556356265.145912640,1556356265.162182385
1556356265.227725260,1556356265.212650530,1556356265.212176977
1556356265.261241190,1556356265.246020548,1556356265.262197161
1556356265.328273289,1556356265.312758438,1556356265.312175613
1556356265.361789219,1556356265.346127502,1556356265.362191341
1556356265.395299665,1556356265.412867062,1556356265.412177452
1556356265.462337248,1556356265.446236126,1556356265.462502604
1556356265.495917551,1556356265.512961142,1556356265.512178971
1556356265.563015692,1556356265.546330206,1556356265.562184771
1556356265.596531622,1556356265.613050215,1556356265.612181362
1556356265.663643591,1556356265.646420233,1556356265.662175803
1556356265.697159521,1556356265.713152878,1556356265.712182297
1556356265.764227144,1556356265.746519796,1556356265.762176352
1556356265.797743074,1556356265.813260786,1556356265.812181878
1556356265.864785902,1556356265.846635334,1556356265.862178972
1556356265.898301832,1556356265.913383476,1556356265.912179368
1556356265.965287678,1556356265.946754925,1556356265.962188261
1556356265.998597614,1556356266.013493053,1556356266.012176208
1556356266.065629475,1556356266.046876184,1556356266.062198292
1556356266.166448824,1556356266.146983139,1556356266.162183492
1556356266.199954264,1556356266.213722221,1556356266.212177260
1556356266.266986124,1556356266.280461304,1556356266.262485022
1556356266.300252907,1556356266.313831322,1556356266.312175132
1556356266.367534153,1556356266.380568020,1556356266.362405299
1556356266.401050083,1556356266.413936369,1556356266.412177259
1556356266.468092911,1556356266.480652802,1556356266.462176922
1556356266.501608841,1556356266.514021627,1556356266.512174719
1556356266.568659298,1556356266.580767624,1556356266.562185761
1556356266.602156870,1556356266.614136688,1556356266.612177947
1556356266.669178240,1556356266.680874578,1556356266.662174383
1556356266.702656500,1556356266.714237682,1556356266.712176491
1556356266.769688599,1556356266.780975811,1556356266.762175328
1556356266.803204529,1556356266.814344637,1556356266.812176580
1556356266.870303146,1556356266.881056301,1556356266.862175151
1556356266.904072754,1556356266.914425127,1556356266.912177846
1556356266.971104614,1556356266.981164209,1556356266.962175403
1556356267.004191391,1556356267.014533274,1556356267.012181470
1556356267.071223251,1556356267.081233017,1556356267.062203858
1556356267.104640476,1556356267.114597790,1556356267.112175040
1556356267.171644680,1556356267.181293718,1556356267.162176073
1556356267.205160610,1556356267.214662783,1556356267.212199390
1556356267.272192709,1556356267.281401627,1556356267.262175397
1556356267.305693619,1556356267.314769499,1556356267.312175158
1556356267.372572176,1556356267.381508581,1556356267.362175154
1556356267.406067125,1556356267.414878838,1556356267.412204319
1556356267.473088257,1556356267.481618397,1556356267.462179807
1556356267.506615154,1556356267.514993183,1556356267.512195813
1556356267.573647253,1556356267.581757776,1556356267.564725119
1556356267.607184164,1556356267.615126841,1556356267.612706927
1556356267.640712015,1556356267.648496859,1556356267.662191721
1556356267.708065025,1556356267.715234987,1556356267.712189494
1556356267.741382591,1556356267.748603813,1556356267.762210917
1556356267.808613054,1556356267.815411560,1556356267.812297070
1556356267.909272902,1556356267.915519468,1556356267.912189251
1556356267.943013899,1556356267.948815815,1556356267.962416607
1556356268.010045759,1556356268.015549652,1556356268.012176171
1556356268.043561928,1556356268.048898212,1556356268.062178930
1556356268.110256903,1556356268.115632050,1556356268.112179776
1556356268.143694155,1556356268.149005405,1556356268.162190619
1556356268.210437290,1556356268.215765707,1556356268.212421013
1556356268.244122736,1556356268.249138824,1556356268.262199616
1556356268.311274044,1556356268.315877907,1556356268.312199319
1556356268.344921820,1556356268.349246733,1556356268.362174833
1556356268.411953918,1556356268.415984861,1556356268.412223310
1556356268.445469849,1556356268.449360125,1556356268.462193767
1556356268.512749903,1556356268.516098015,1556356268.512178205
1556356268.546265833,1556356268.549473755,1556356268.562180294
1556356268.613297932,1556356268.616218559,1556356268.612181023
1556356268.646813862,1556356268.649587385,1556356268.662148016
1556356268.713845961,1556356268.716326468,1556356268.712179730
1556356268.747113935,1556356268.749695532,1556356268.762177566
1556356268.814118378,1556356268.816447489,1556356268.812177032
1556356268.847493879,1556356268.849817507,1556356268.862182978
1556356268.914356462,1556356268.916625492,1556356268.912177096
1556356268.947852842,1556356268.949954502,1556356268.962177483
1556356269.014904491,1556356269.016693584,1556356269.012188686
1556356269.048420660,1556356269.050062649,1556356269.062247255
1556356269.115718357,1556356269.116841309,1556356269.112230269
1556356269.149278395,1556356269.150273315,1556356269.162197530
1556356269.216266386,1556356269.217140667,1556356269.212219874
1556356269.249879829,1556356269.250510447,1556356269.262188731
1556356269.316911928,1556356269.317056410,1556356269.312180682
1556356269.350533716,1556356269.350425474,1556356269.362179267
1556356269.417459957,1556356269.417124502,1556356269.412177710
1556356269.450975887,1556356269.450474016,1556356269.462181218
1556356269.517910473,1556356269.517104141,1556356269.512215166
1556356269.551238529,1556356269.550363533,1556356269.562163652
1556356269.618148081,1556356269.617101662,1556356269.612175673
1556356269.651664011,1556356269.650471680,1556356269.662178747
1556356269.718707792,1556356269.717209570,1556356269.712175021
1556356269.752223961,1556356269.750578634,1556356269.762182266
1556356269.819255821,1556356269.817318670,1556356269.812182613
1556356269.852771990,1556356269.850686543,1556356269.862428872
1556356269.920151703,1556356269.917418711,1556356269.912186043
1556356270.221952431,1556356270.217749111,1556356270.212232345
1556356270.255468361,1556356270.251118414,1556356270.262334417
1556356270.322500460,1556356270.317865841,1556356270.312405070
1556356270.356016390,1556356270.351234905,1556356270.362177217
1556356270.422765247,1556356270.417973034,1556356270.412177599
1556356270.456079714,1556356270.451342813,1556356270.462177179
1556356270.523080103,1556356270.518072121,1556356270.512182027
1556356270.556558363,1556356270.551439516,1556356270.562181233
1556356270.623574488,1556356270.618165485,1556356270.612193503
1556356270.657090656,1556356270.651529066,1556356270.665339747
1556356270.724095575,1556356270.718266479,1556356270.712305818
1556356270.757611506,1556356270.751635305,1556356270.762227282
1556356270.824643604,1556356270.818367235,1556356270.812179304
1556356270.858159534,1556356270.851737492,1556356270.862226653
1556356270.925206177,1556356270.918475143,1556356270.912195745
1556356270.958723776,1556356270.951844208,1556356270.962233630
1556356271.025754206,1556356271.018583290,1556356271.012215681
1556356271.059270136,1556356271.051952116,1556356271.062596054
1556356271.126302235,1556356271.118664257,1556356271.112360647
1556356271.159818165,1556356271.152031414,1556356271.162218412
1556356271.226777069,1556356271.218769304,1556356271.212442025
1556356271.260292999,1556356271.252135746,1556356271.264491676
1556356271.327324860,1556356271.318881742,1556356271.312194504
1556356271.360841028,1556356271.352246277,1556356271.362232786
1556356271.427863590,1556356271.418981783,1556356271.412197651
1556356271.461379759,1556356271.452338926,1556356271.462194736
1556356271.528449766,1556356271.519069902,1556356271.512233628
1556356271.562017195,1556356271.552441113,1556356271.562186526
1556356271.629058115,1556356271.619188301,1556356271.612183956
1556356271.662609808,1556356271.652571671,1556356271.662193022
1556356271.729755632,1556356271.719283096,1556356271.712283694
1556356271.763157837,1556356271.752665274,1556356271.762179334
1556356271.830303661,1556356271.819398634,1556356271.812179067
1556356271.863705866,1556356271.852773182,1556356271.862176078
1556356271.930851690,1556356271.919512264,1556356271.912175380
1556356271.964210979,1556356271.952891342,1556356271.962176470
1556356272.031243078,1556356272.019632570,1556356272.012177922
1556356272.064759008,1556356272.052999489,1556356272.062239619
1556356272.131951563,1556356272.119737379,1556356272.112199868
1556356272.232499592,1556356272.219859831,1556356272.212200178
1556356272.266343109,1556356272.253214352,1556356272.262179012
1556356272.299859039,1556356272.319953434,1556356272.312177117
1556356272.367167942,1556356272.353308193,1556356272.362276380
1556356272.400407068,1556356272.420046083,1556356272.412181792
1556356272.467438929,1556356272.453416101,1556356272.462211365
1556356272.500829451,1556356272.520154230,1556356272.512177478
1556356272.567861311,1556356272.553532354,1556356272.562174122
1556356272.601316444,1556356272.620273582,1556356272.612192103
1556356272.668056957,1556356272.653640501,1556356272.662182686
1556356272.701572887,1556356272.720370047,1556356272.712174511
1556356272.768411390,1556356272.753739111,1556356272.762446946
1556356272.802120916,1556356272.820477240,1556356272.812183840
1556356272.869444363,1556356272.853841536,1556356272.862174507
1556356272.902960293,1556356272.920562975,1556356272.912177790
1556356272.969992392,1556356272.953932039,1556356272.962734916
1556356273.003297560,1556356273.020663969,1556356273.012174576
1556356273.070329659,1556356273.054025881,1556356273.062178910
1556356273.103845589,1556356273.120762102,1556356273.112190427
1556356273.170877687,1556356273.154129736,1556356273.162194207
1556356273.204393618,1556356273.220879070,1556356273.212177818
1556356273.271425478,1556356273.254256002,1556356273.262207123
1556356273.304941647,1556356273.320993893,1556356273.312175631
1556356273.371973507,1556356273.354362957,1556356273.362181255
1556356273.405527822,1556356273.421085112,1556356273.412183341
1556356273.472587339,1556356273.454417698,1556356273.462176513
1556356273.506103270,1556356273.521156780,1556356273.512228693
1556356273.573278658,1556356273.554538242,1556356273.562179714
1556356273.606907598,1556356273.621301167,1556356273.612198985
1556356273.674157850,1556356273.654671185,1556356273.662177657
1556356273.707673780,1556356273.721384279,1556356273.712175511
1556356273.741205446,1556356273.754740707,1556356273.762189799
1556356273.808237307,1556356273.821479790,1556356273.812175066
1556356273.841737740,1556356273.854848854,1556356273.862215752
1556356273.908526413,1556356273.921581261,1556356273.912184802
1556356273.941974394,1556356273.954947226,1556356273.962176459
1556356274.008825771,1556356274.021683924,1556356274.012207759
1556356274.042341702,1556356274.055053942,1556356274.062181068
1556356274.109373800,1556356274.121780149,1556356274.112178550
1556356274.142874949,1556356274.155149214,1556356274.162177237
1556356274.209921829,1556356274.221899740,1556356274.212214032
1556356274.243437759,1556356274.255268805,1556356274.262175555
1556356274.310455076,1556356274.322007887,1556356274.312180369
1556356274.343971006,1556356274.355376951,1556356274.362182490
1556356274.411144726,1556356274.422102921,1556356274.412184346
1556356274.444738619,1556356274.455472939,1556356274.462641282
1556356274.511884920,1556356274.522187225,1556356274.512178528
1556356274.545401089,1556356274.555546515,1556356274.564168575
1556356274.612432949,1556356274.622277252,1556356274.612254040
1556356274.645948879,1556356274.655646078,1556356274.662226854
1556356274.712989323,1556356274.722385160,1556356274.712336093
1556356274.746565096,1556356274.755762569,1556356274.762235932
1556356274.813602440,1556356274.822500460,1556356274.812217733
1556356274.847113125,1556356274.855878107,1556356274.862199742
1556356274.914150469,1556356274.922616236,1556356274.914861447
1556356274.947666399,1556356274.955985062,1556356274.962238184
1556356274.981182329,1556356274.989404909,1556356275.012202729
1556356275.048347942,1556356275.056173794,1556356275.062375776
1556356275.115380041,1556356275.122912638,1556356275.112186318
1556356275.148895971,1556356275.156281702,1556356275.162185057
1556356275.215682022,1556356275.223019831,1556356275.212176915
1556356275.249198191,1556356275.256300203,1556356275.262175939
1556356275.316023104,1556356275.323038094,1556356275.312176651
1556356275.349350445,1556356275.356407158,1556356275.362205589
1556356275.416019432,1556356275.423146002,1556356275.412183653
1556356275.449535362,1556356275.456515066,1556356275.462191492
1556356275.516540758,1556356275.523249142,1556356275.512175785
1556356275.550056688,1556356275.556606047,1556356275.562180556
1556356275.617088787,1556356275.623319380,1556356275.612178226
1556356275.650604717,1556356275.656713955,1556356275.662178541
1556356275.717634909,1556356275.723401062,1556356275.712262444
1556356275.751152746,1556356275.756770126,1556356275.762178376
1556356275.818182938,1556356275.823507540,1556356275.812147182
1556356275.851684801,1556356275.856876604,1556356275.862199156
1556356275.918655149,1556356275.923615448,1556356275.912175080
1556356275.952158205,1556356275.956982128,1556356275.962190490
1556356276.019164316,1556356276.023715965,1556356276.012186048
1556356276.052677624,1556356276.057073347,1556356276.062350511
1556356276.119658224,1556356276.123800508,1556356276.112177498
1556356276.153172962,1556356276.157162897,1556356276.163210883
1556356276.220204823,1556356276.223901979,1556356276.212176137
1556356276.253720991,1556356276.257271044,1556356276.262214037
1556356276.320754282,1556356276.324010126,1556356276.312184352
1556356276.354270212,1556356276.357378952,1556356276.362204634
1556356276.421302311,1556356276.424144022,1556356276.412182668
1556356276.454833977,1556356276.457531921,1556356276.462372292
1556356276.521874659,1556356276.524274342,1556356276.512302796
1556356276.555401318,1556356276.557656519,1556356276.562352616
1556356276.622433416,1556356276.624496929,1556356276.612553318
1556356276.655949347,1556356276.657865993,1556356276.662177591
1556356276.722989075,1556356276.724597208,1556356276.712174242
1556356276.756497375,1556356276.757966272,1556356276.762355215
1556356276.823510878,1556356276.824704163,1556356276.812184940
1556356276.856998436,1556356276.858074181,1556356276.862238261
1556356276.924012892,1556356276.924813263,1556356276.912178092
1556356276.957521908,1556356276.958181135,1556356276.962296268
1556356277.024551622,1556356277.024920218,1556356277.012174929
1556356277.058067791,1556356277.058289282,1556356277.062180627
1556356277.125099651,1556356277.124882690,1556356277.112176388
1556356277.158617727,1556356277.158254377,1556356277.162197324
1556356277.225649826,1556356277.224989645,1556356277.212181328
1556356277.259383194,1556356277.258343689,1556356277.263267308
1556356277.326560966,1556356277.325022690,1556356277.312177487
1556356277.360192053,1556356277.358391754,1556356277.362183341
1556356277.427398912,1556356277.425124161,1556356277.412179416
1556356277.461250536,1556356277.458493225,1556356277.463532925
1556356277.528282635,1556356277.525232307,1556356277.512176401
1556356277.561966888,1556356277.558607571,1556356277.563036906
1556356277.628830664,1556356277.625353329,1556356277.612174353
1556356277.662346594,1556356277.658715717,1556356277.662664278
1556356277.729472153,1556356277.725461237,1556356277.712176349
1556356277.763062946,1556356277.758830301,1556356277.762233806
1556356277.796771996,1556356277.792200319,1556356277.812180314
1556356277.863872282,1556356277.858938210,1556356277.862196250
1556356277.897532932,1556356277.892316572,1556356277.912175948
1556356277.965413324,1556356277.959046356,1556356277.962276777
1556356277.998929493,1556356277.992415182,1556356278.012186711
1556356278.066087477,1556356278.059143536,1556356278.062178067
1556356278.099603645,1556356278.092512123,1556356278.112197463
1556356278.166509382,1556356278.159250013,1556356278.162175515
1556356278.200025312,1556356278.192615501,1556356278.212174689
1556356278.266967051,1556356278.259351007,1556356278.262177855
1556356278.300040714,1556356278.292703621,1556356278.312190375
1556356278.367049925,1556356278.359456293,1556356278.362193720
1556356278.399579994,1556356278.392811768,1556356278.412184712
1556356278.466344349,1556356278.459550611,1556356278.462178685
1556356278.500128023,1556356278.492919676,1556356278.512175981
1556356278.567126982,1556356278.559671394,1556356278.562517985
1556356278.600676052,1556356278.593041174,1556356278.612223531
1556356278.667708151,1556356278.659789078,1556356278.662331940
1556356278.702278368,1556356278.693289511,1556356278.712165817
1556356278.769310228,1556356278.760028355,1556356278.762439858
1556356278.802826397,1556356278.793397419,1556356278.812180318
1556356278.868770830,1556356278.860136501,1556356278.864086590
1556356278.902286999,1556356278.893505327,1556356278.913424458
1556356278.969318859,1556356278.960352652,1556356278.962191444
1556356279.002784483,1556356278.993613474,1556356279.012263549
1556356279.069756262,1556356279.060339682,1556356279.062191944
1556356279.103250973,1556356279.093637697,1556356279.112208111
1556356279.170127384,1556356279.160345070,1556356279.162181668
1556356279.203643314,1556356279.193713896,1556356279.212222875
1556356279.270675413,1556356279.260434381,1556356279.262240149
1556356279.304368250,1556356279.293803446,1556356279.312220663
1556356279.371785872,1556356279.360787861,1556356279.362207184
1556356279.405301802,1556356279.394157879,1556356279.412184389
1556356279.471948378,1556356279.460896008,1556356279.462192407
1556356279.505464308,1556356279.494272463,1556356279.512182765
1556356279.572881691,1556356279.561011545,1556356279.562192935
1556356279.606397860,1556356279.594380610,1556356279.612176032
1556356279.672822229,1556356279.661119453,1556356279.662268110
1556356279.705900185,1556356279.694250338,1556356279.712177588
1556356279.772932045,1556356279.760988466,1556356279.762701949
1556356279.806448214,1556356279.794348948,1556356279.813301724
1556356279.873448841,1556356279.860975258,1556356279.862230371
1556356279.906964771,1556356279.894343607,1556356279.912193681
1556356279.974110834,1556356279.961075298,1556356279.962191202
1556356280.007871143,1556356279.994442455,1556356280.012176313
1556356280.074903242,1556356280.061179153,1556356280.062205331
1556356280.108453266,1556356280.094526045,1556356280.112179243
1556356280.176589243,1556356280.161264174,1556356280.162744175
1556356280.310653202,1556356280.294765465,1556356280.312179608
1556356280.377685301,1556356280.361552708,1556356280.362502732
1556356280.411201231,1556356280.394921534,1556356280.412174601
1556356280.477799170,1556356280.461660616,1556356280.463523964
1556356280.511315338,1556356280.495029680,1556356280.512178833
1556356280.544831268,1556356280.561767570,1556356280.562351365
1556356280.611618988,1556356280.595137589,1556356280.612182594
1556356280.645134918,1556356280.661831133,1556356280.662192450
1556356280.712218039,1556356280.695185892,1556356280.712313778
1556356280.745734207,1556356280.761909239,1556356280.763629319
1556356280.812714808,1556356280.795278303,1556356280.812188847
1556356280.845869772,1556356280.862017147,1556356280.862927373
1556356280.912901632,1556356280.895387880,1556356280.912170168
1556356280.946417801,1556356280.962140076,1556356280.962186902
1556356281.013224356,1556356280.995518915,1556356281.012248979
1556356281.046633236,1556356281.062256805,1556356281.062181239
1556356281.113621227,1556356281.095625870,1556356281.112177782
1556356281.147124998,1556356281.162366144,1556356281.162179118
1556356281.214028351,1556356281.195735209,1556356281.212175743
1556356281.247544281,1556356281.262474291,1556356281.262176820
1556356281.314646475,1556356281.329210751,1556356281.312380709
1556356281.348162405,1556356281.362579815,1556356281.362178345
1556356281.415265314,1556356281.429313890,1556356281.412296596
1556356281.448794834,1556356281.462682716,1556356281.462465978
1556356281.515826694,1556356281.529416077,1556356281.512288489
1556356281.549342863,1556356281.562785141,1556356281.562961836
1556356281.616346113,1556356281.629523031,1556356281.612175410
1556356281.649862282,1556356281.662893049,1556356281.662177377
1556356281.716894142,1556356281.729663841,1556356281.712178187
1556356281.750336401,1556356281.763034813,1556356281.762219519
1556356281.817262880,1556356281.829954140,1556356281.812233396
1556356281.850770943,1556356281.863650791,1556356281.862237658
1556356281.917803041,1556356281.930573217,1556356281.912218844
1556356281.951318972,1556356281.963876955,1556356281.962211417
1556356282.018358938,1556356282.030680410,1556356282.012252781
1556356282.051880829,1556356282.063984863,1556356282.063853401
1556356282.118939392,1556356282.130931370,1556356282.112198515
